# kpi_suite_v1.tsv — v1 sparse-record fallback suite (66–99 bits)
# NOT the full target-bucket suite at 100/110/120 bits.
# Coverage is data-limited: no B1-class hits at 100+ bits yet.
# Expand to kpi_suite_v2.tsv once new B1-class hits land and update CAL_JSON.
suite_id	k	pattern	base_dec	digits	date	author	bits
S01	16	KT16_P0	47710850533373130107	20	1997	Tony Forbes	66
S02	16	KT16_P1	695874886175252911063	21	1996	Jörg Waldvogel	70
S03	16	KT16_P0	1099638576123052218257	22	1996	Jörg Waldvogel	70
S04	16	KT16_P0	20947353617877810296177	23	1999	Tony Forbes	75
S05	16	KT16_P1	47624415490498763963983	23	2001	Peter Leikauf, Jörg Waldvogel	76
S06	16	KT16_P0	1008037335701436528651167	25	Feb 2021	Norman Luhn	80
S07	16	KT16_P1	1015074281315414986743013	25	Feb 2021	Norman Luhn	80
S08	16	KT16_P1	19453410564384059631965533	26	Jan 2009	Jaroslaw Wroblewski	85
S09	16	KT16_P0	20338708738516444189126217	26	Dec 2008	Jaroslaw Wroblewski	85
S10	17	KT17_P3	1620784518619319025971	22	1997	Jörg Waldvogel	71
S11	17	KT17_P0	37630850994954402655487	23	2001	Peter Leikauf and Jörg Waldvogel	75
S12	17	KT17_P1	78314167738064529047713	23	2001	Peter Leikauf and Jörg Waldvogel	77
S13	17	KT17_P2	734975534793324512717947	24	2009	Jörg Waldvogel	80
S14	17	KT17_P1	1024494443639408527082233	25	Apr 2021	Norman Luhn	80
S15	17	KT17_P0	23281092933950338544113997	26	Jan 2009	Jaroslaw Wroblewski	85
S16	17	KT17_P2	28354435461222964236546397	26	Jan 2009	Jaroslaw Wroblewski	85
S17	18	KT18_P0	1906230835046648293290043	25	31 Jan 2001	Jörg Waldvogel & Peter Leikauf	81
S18	18	KT18_P1	2845372542509911868266807	25	13 Nov 2000	Jörg Waldvogel & Peter Leikauf	82
S19	18	KT18_P0	23531820918273007548405133	26	16 Jan 2009	Jaroslaw Wroblewski	85
S20	18	KT18_P1	33755528632220819791319947	26	26 Jan 2009	Jaroslaw Wroblewski	85
S21	18	KT18_P1	630134041802574490482213907	27	9 Feb 2011	Raanan Chermoni & Jaroslaw Wroblewski	90
S22	19	KT19_P0	204480527545513119437376727	27	24 Apr 2026	John Armitage	88
S23	19	KT19_P1	362446150252909869314435203	27	24 Apr 2026	John Armitage	89
S24	19	KT19_P3	630134041802574490482213901	27	9 Feb 2011	Raanan Chermoni & Jaroslaw Wroblewski	90
S25	19	KT19_P2	39433867730216371575457664407	29	8 Jan 2015	Raanan Chermoni & Jaroslaw Wroblewski	95
S26	19	KT19_P0	622803914376064301858782434517	30	27 Dec 2018	Raanan Chermoni & Jaroslaw Wroblewski	99
