k	pattern	base_dec	digits	date	author	bits
16	KT16_P0	47710850533373130107	20	1997	Tony Forbes	66
16	KT16_P0	347709450746519734877	21	1996	Jörg Waldvogel	69
16	KT16_P1	695874886175252911063	21	1996	Jörg Waldvogel	70
16	KT16_P0	1099638576123052218257	22	1996	Jörg Waldvogel	70
16	KT16_P0	1169914227530138703617	22	1996	Jörg Waldvogel	70
16	KT16_P0	1522014304823128379267	22	1997	Tony Forbes	71
16	KT16_P0	20947353617877810296177	23	1999	Tony Forbes	75
16	KT16_P1	47624415490498763963983	23	2001	Peter Leikauf, Jörg Waldvogel	76
16	KT16_P0	1008037335701436528651167	25	Feb 2021	Norman Luhn	80
16	KT16_P1	1015074281315414986743013	25	Feb 2021	Norman Luhn	80
16	KT16_P0	3327635699594161227885617	25	Dec 2008	Jaroslaw Wroblewski	82
16	KT16_P0	3668262050085284134305827	25	Dec 2008	Jaroslaw Wroblewski	82
16	KT16_P0	4410350515531687143590177	25	Dec 2008	Jaroslaw Wroblewski	82
16	KT16_P1	4448854703435773339525753	25	Dec 2008	Jaroslaw Wroblewski	82
16	KT16_P0	4460854210129372667384777	25	Dec 2008	Jaroslaw Wroblewski	82
16	KT16_P1	4832244481144873961495263	25	Dec 2008	Jaroslaw Wroblewski	82
16	KT16_P1	5123424425629589842009183	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	5315687855627482486019803	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	5767762827981847923136843	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	5829755258165124648238813	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	5864040093548465525463703	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P0	6097058661054854619479357	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P0	8123287824666722554529687	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	9035534891670879193999333	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	9276275190948013462871593	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	9569595773264659850905123	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	9650336819926778895196213	25	Dec 2008	Jaroslaw Wroblewski	83
16	KT16_P1	9810028287321148107308023	25	Dec 2008	Jaroslaw Wroblewski	84
16	KT16_P0	10252256693298561414756287	26	2004	Jens Kruse Andersen	84
16	KT16_P1	13541936591904559717085143	26	Dec 2008	Jaroslaw Wroblewski	84
16	KT16_P1	13869497324977990741392283	26	Dec 2008	Jaroslaw Wroblewski	84
16	KT16_P1	14572067509290472479435073	26	Dec 2008	Jaroslaw Wroblewski	84
16	KT16_P0	15484349702608183190586797	26	Dec 2008	Jaroslaw Wroblewski	84
16	KT16_P1	16762005170128542220583623	26	Dec 2008	Jaroslaw Wroblewski	84
16	KT16_P0	18795019410644838569261057	26	Jan 2009	Jaroslaw Wroblewski	84
16	KT16_P1	19453410564384059631965533	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P0	20338708738516444189126217	26	Dec 2008	Jaroslaw Wroblewski	85
16	KT16_P1	20528798200669046577816463	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P1	21247580101231619833254493	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P0	24519309706781372548178117	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P0	27663490144328268616769387	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P0	28697769080066241198976937	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P0	29141972998034038331352167	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P0	30739487512102293375333887	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P1	32494695846932250256922533	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P1	33924758015761437176599183	26	Feb 2009	Jaroslaw Wroblewski	85
16	KT16_P1	35839556860251188435458003	26	Feb 2009	Jaroslaw Wroblewski	85
16	KT16_P1	35885707235361657484898023	26	Feb 2009	Jaroslaw Wroblewski	85
16	KT16_P1	36628757372193420935047483	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P0	38082636384087860475653747	26	Jan 2009	Jaroslaw Wroblewski	85
16	KT16_P0	38703994459560945396965087	26	Jan 2009	Jaroslaw Wroblewski	86
16	KT16_P0	39135286142065838245784267	26	Jan 2009	Jaroslaw Wroblewski	86
16	KT16_P0	39452706105687917512613147	26	Feb 2009	Jaroslaw Wroblewski	86
16	KT16_P1	41435247423826633213373473	26	Feb 2009	Jaroslaw Wroblewski	86
16	KT16_P0	42422872235802713349407717	26	Feb 2009	Jaroslaw Wroblewski	86
16	KT16_P1	44521349510218311048324943	26	Mar 2009	Jaroslaw Wroblewski	86
16	KT16_P0	45977590445302370920118057	26	Feb 2009	Jaroslaw Wroblewski	86
16	KT16_P0	46635660851516237285397617	26	Mar 2009	Jaroslaw Wroblewski	86
16	KT16_P0	47484723317467297181983667	26	Feb 2009	Jaroslaw Wroblewski	86
16	KT16_P1	48129047932652814812211463	26	Mar 2009	Jaroslaw Wroblewski	86
17	KT17_P3	1620784518619319025971	22	1997	Jörg Waldvogel	71
17	KT17_P3	2639154464612254121531	22	1998	Jörg Waldvogel	72
17	KT17_P3	3259125690557440336631	22	1997	Tony Forbes	72
17	KT17_P0	37630850994954402655487	23	2001	Peter Leikauf and Jörg Waldvogel	75
17	KT17_P1	47624415490498763963983	23	2001	Peter Leikauf and Jörg Waldvogel	76
